Title,People_Review,Selling_Price,Deliver_Charges,Seller_Rating,Shipping_Timing_Rating,Discount_Percentage,Original_Price,Chat_Responce_Rate
OUTLIERS The Story of Success,No Ratings,Rs. 299,Free,86%,100%,-70%,Rs. 999,92%
The Power Of Your Subconscious Mind,1 Ratings,Rs. 650,Free,New Seller,100%,-35%,"Rs. 1,000",100%
Pack Of 2 Aab e Hayat And Main Anmol Best Selling Book,No Ratings,"Rs. 1,648",Rs. 99,80%,100%,-59%,"Rs. 4,000",97%
The BFG By Roald Dahl,2 Ratings,Rs. 445,Free,87%,100%,-78%,"Rs. 1,999",100%
Treasure Island Novel by Robert Louis Stevenson,No Ratings,Rs. 441,Free,86%,100%,-51%,Rs. 899,92%
My Fault by Mercedes Ron,1 Ratings,Rs. 399,Free,86%,100%,-69%,"Rs. 1,299",92%
Sochye Aur Dolat Kamaiye (Think And Grow Rich) Urdu Book By Nepolian Hill,No Ratings,Rs. 299,Free,New Seller,100%,-70%,Rs. 999,83%
Fantastic Mr. Fox By Roald Dahl,2 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
The Extraordinary Cases of Sherlock Holmes / The Great Adventures of Sherlock Holmes / The Hound of the Baskervilles Novel by Arthur Conan Doyle,1 Ratings,Rs. 939,Free,87%,100%,-77%,"Rs. 3,999",100%
Patrus Ke Mazameen book most selling Urdu book,2 Ratings,Rs. 298,Rs. 99,80%,100%,-50%,Rs. 600,97%
Pack of 6 Best selling novels,No Ratings,"Rs. 3,289",Rs. 99,80%,100%,-51%,"Rs. 6,700",97%
DARK PHYCHOLOGY SECRET BEST SELLING book,No Ratings,Rs. 299,Rs. 99,74%,93%,-40%,Rs. 499,97%
Pack Of 2 Hum Kahan Ke Sache The Pahari Ka Qaidi Bi Umera Ahmed,No Ratings,Rs. 598,Rs. 139,80%,100%,-50%,"Rs. 1,200",97%
Wuthering Heights by Emily Br0nte,1 Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
Boy: Tales of Childhood By Roald Dahl,3 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
Good to Great: Why Some Companies Make the Leap... and Others Don't By James C. Collins,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
Manipulation: Dark Psychology to Manipulate and Control People by Arthur Horn,2 Ratings,Rs. 299,Free,81%,100%,-70%,Rs. 995,100%
Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics (Politics of Place #1) by Tim Marshall,3 Ratings,Rs. 346,Free,87%,100%,-80%,"Rs. 1,699",100%
The Hobbit (The Lord of the Rings #0) Book,4 Ratings,Rs. 399,Free,87%,100%,-78%,"Rs. 1,799",100%
The Alchemist by Paulo Coelho,2 Ratings,Rs. 391,Free,86%,83%,-35%,Rs. 600,95%
Aleph a Novel by Paulo Coelho Urdu Edition,2 Ratings,Rs. 396,Free,98%,98%,-34%,Rs. 600,100%
Unwinding Anxiety Book by Judson A. Brewer,No Ratings,Rs. 400,Free,89%,85%,-60%,Rs. 999,55%
Pahari ka qaidi novel by Nimra Ahmed,No Ratings,Rs. 319,Rs. 99,74%,93%,-54%,Rs. 699,97%
Manipulation / The Art Of Psychological Warfare / How To Analyze People With Dark Psychology / How To Analyze People (set of 4 books ),No Ratings,Rs. 999,Free,90%,90%,-67%,"Rs. 2,999",98%
UNRAVEL ME ( TAHEREH MAFI ),No Ratings,Rs. 349,Free,86%,100%,-65%,Rs. 999,92%
40 on Justice / Angels in Your Presence / The Prophet of Mercy / Prayers of the Pious / Meeting Muhammad / Allah_Loves by Omar Suleiman,3 Ratings,"Rs. 1,879",Free,87%,100%,-62%,"Rs. 4,999",100%
The Zahir by Paulo Coelho,7 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
The 48 Laws of Power by Robert Greene,No Ratings,Rs. 499,Free,New Seller,91%,-44%,Rs. 899,100%
101 Essays That Will Change the Way You Think by Brianna Wiest,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
The Siege of Mecca by Yaroslav Trofimov,No Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
The Darkest Temptation,No Ratings,Rs. 312,Free,82%,100%,-69%,Rs. 999,91%
"Fourth Wing (The Empyrean, #1) by Rebecca Yarros",No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Sapiens: A Brief History of Humankind by Yuval Noah Harari,No Ratings,Rs. 349,Free,83%,100%,-61%,Rs. 899,50%
A Touch of Darkness Book by Scarlett St. Clair,No Ratings,Rs. 745,Free,83%,85%,-50%,"Rs. 1,500",100%
RAB SE JURNE ka Safar BY UME E HURERA,1 Ratings,Rs. 729,Rs. 99,74%,93%,-44%,"Rs. 1,299",97%
JANNAT KAY PATTAY NOVEL,No Ratings,Rs. 799,Free,83%,100%,-47%,"Rs. 1,500",50%
Quiet: The Power of Introverts in a World That Can't Stop Talking by Susan Cain,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
The Darkest Temptation,No Ratings,Rs. 299,Free,86%,100%,-70%,Rs. 999,92%
We Are Okay by Nina LaCour,No Ratings,Rs. 536,Free,83%,85%,Not Found,Not Found,100%
Me Before You Novel by Jojo Moyes,No Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 995,100%
Diary of a _Wimpy Kid: Big Shot (Book 16) Excellent Quality white pages,No Ratings,Rs. 299,Free,86%,100%,-67%,Rs. 899,92%
The Broken Wings by Kahlil Jibran ( Novel ),1 Ratings,Rs. 275,Free,82%,100%,-72%,Rs. 999,91%
Redeemed Novel,No Ratings,Rs. 349,Free,New Seller,91%,-65%,Rs. 999,100%
The Power of_Focus by Jack Canfield,No Ratings,Rs. 400,Free,86%,100%,-60%,Rs. 999,92%
The Winning Attitude Book by Jeff Keller,4 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Pack of 2 Mushaf Hurf se Lafz Tak Best selling Urdu Books,1 Ratings,Rs. 659,Rs. 139,74%,93%,-45%,"Rs. 1,200",97%
Alrahek ul Mankhtoom book Best Selling Islamic Book,No Ratings,Rs. 889,Rs. 99,80%,100%,-56%,"Rs. 1,999",97%
Baale Jibreel By Allama Iqbal,No Ratings,Rs. 120,Rs. 99,74%,93%,-40%,Rs. 200,97%
Qaraqarm ka taj Mehal By Nimra Ahmed,2 Ratings,Rs. 299,Rs. 99,80%,100%,-63%,Rs. 800,97%
Best English Novels ( Set of 9 ),1 Ratings,"Rs. 2,599",Free,82%,100%,-48%,"Rs. 5,000",91%
Sagar Siddiqui Book:Pack Of Two,4 Ratings,Rs. 220,Rs. 99,80%,100%,-45%,Rs. 400,97%
Meeting Muhammad By Omar Suleiman,No Ratings,Rs. 399,Free,90%,90%,-60%,Rs. 999,98%
Redeemed Novel,No Ratings,Rs. 349,Free,86%,100%,-65%,Rs. 999,92%
Oliver Twist By Charles Dickens,1 Ratings,Rs. 395,Free,87%,100%,-78%,"Rs. 1,799",100%
The Strength in Our Scars Book by Bianca Sparacino,No Ratings,Rs. 299,Free,90%,90%,-70%,Rs. 999,98%
A Thousand Splendid Suns Novel by Khaled Hosseini,3 Ratings,Rs. 445,Free,87%,100%,-78%,"Rs. 1,999",100%
The Alchemist by Paulo Coelho,No Ratings,Rs. 299,Free,86%,100%,-70%,Rs. 999,92%
John Elia All Poetry books Best reading Urdu Poetry book,3 Ratings,"Rs. 2,179",Rs. 99,74%,93%,-56%,"Rs. 4,999",97%
The Girl on the Train Novel by Paula Hawkins,2 Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
Books Set by Alex Michaelides,3 Ratings,Rs. 563,Free,87%,100%,-72%,"Rs. 1,999",100%
Haunting Adeline Book by H. D. Carlton,No Ratings,Rs. 399,Free,90%,90%,-60%,Rs. 999,98%
You Can Sell by Shiv Khera,No Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
"3 Book Set By Danielle Lori (The Sweetest Oblivion, Maddest Obsession, Darkest Temptation)",No Ratings,Rs. 999,Free,86%,100%,-75%,"Rs. 3,999",92%
Discover Your Destiny by Robin S Sharma,No Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
The Phycology Of Money By Morgan Housel,No Ratings,Rs. 248,Rs. 99,80%,100%,-59%,Rs. 600,97%
Beyond Good and Evil Book by Friedrich Nietzsche,No Ratings,Rs. 349,Free,New Seller,91%,-65%,Rs. 999,100%
BELIEVE ME (TAHEREH MAFI),No Ratings,Rs. 325,Free,New Seller,100%,-67%,Rs. 999,83%
Kaizen By Sarah Harvey,No Ratings,Rs. 399,Free,81%,100%,-77%,"Rs. 1,699",100%
O level The History And culture Of Pakistan student book by nigel Kelly,No Ratings,"Rs. 1,299",Free,82%,100%,-68%,"Rs. 3,999",91%
Think and Grow Rich,No Ratings,Rs. 349,Free,82%,100%,-37%,Rs. 550,91%
Does It Hurt? By H.D CARLTON ( Novel ),No Ratings,Rs. 349,Free,82%,100%,-65%,Rs. 999,91%
Sinners Consumed: An Enemies to Lovers Mafia Romance,No Ratings,Rs. 349,Free,86%,100%,-65%,Rs. 999,92%
The Predator (Dark Verse #1) by RuNyx,2 Ratings,Rs. 450,Free,87%,100%,-75%,"Rs. 1,799",100%
Think and Grow Rich by Napoleon Hill,1 Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
To The Woman I Once Loved By Pierre Alex Jeanty,No Ratings,Rs. 299,Free,New Seller,91%,-70%,Rs. 999,100%
FREEDOM IS NOT FREE BY SHIV KHERA,No Ratings,Rs. 330,Free,New Seller,100%,-5%,Rs. 349,100%
Haalim both Parts And Namal by Nimra Ahmed best selling Urdu reading book,No Ratings,"Rs. 3,398",Rs. 99,74%,93%,-58%,"Rs. 7,999",97%
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day by Jay Shetty,No Ratings,Rs. 299,Free,86%,100%,-50%,Rs. 599,92%
The $100 Startup,No Ratings,Rs. 349,Free,86%,100%,-65%,Rs. 999,92%
The Top Five Regrets of the Dying by Bro/nnie Ware,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
THE MUQADDIMAH BOOK,No Ratings,Rs. 499,Free,86%,100%,-50%,Rs. 999,92%
Life Without Limits By Nick Vujicic,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
The Power of Discipline: How to Use Self Control and Mental Toughness to Achieve Your Goals by Daniel Walter,2 Ratings,Rs. 405,Free,87%,100%,-77%,"Rs. 1,799",100%
The 48 Laws of Power by Robert Greene,1 Ratings,Rs. 399,Free,90%,90%,-60%,Rs. 999,98%
As Good As Dead by Holly Jackson,No Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Talking to Strangers Book by Malcolm Gladwell,1 Ratings,Rs. 371,Free,87%,100%,-79%,"Rs. 1,799",100%
Heidi by Johanna Spyri,1 Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 999,100%
The Seven Husbands of Evelyn Hugo Novel by Taylor Jenkins Reid,1 Ratings,Rs. 399,Free,New Seller,91%,-56%,Rs. 899,100%
Mushaf by Nimra Ahmad Novel,7 Ratings,Rs. 830,Free,90%,100%,-17%,"Rs. 1,000",100%
Can't Hurt Me by David Goggins,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
thinking fast and slow by daniel kahneman,No Ratings,Rs. 399,Free,86%,100%,-56%,Rs. 899,92%
Sulfite by Noor Rajput( Motivational Novel),1 Ratings,Rs. 989,Rs. 99,80%,100%,-51%,"Rs. 2,000",97%
Ishq Atish Peer e Kamil (Pack Of 2) Best Selling Urdu Reading Book,No Ratings,"Rs. 1,498",Rs. 99,74%,93%,-50%,"Rs. 3,000",97%
The Housemaid By Freida McFadden,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
The Cruel Prince (The Folk of the Air #1) by Holly Black,1 Ratings,Rs. 395,Free,83%,85%,-34%,Rs. 600,100%
Paradise Lost by John Milton English Literature Urdu Language,7 Ratings,Rs. 158,Free,93%,95%,-1%,Rs. 160,97%
Like the Flowing River Book by Paulo Coelho,7 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Jane Eyre by Charlotte Bronte,6 Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Will Power Doesn't Work Entrepreneurship_Motivation_Local Self Help_Learning_Education_Local Literature_English Literature,No Ratings,Rs. 348,Free,86%,100%,-65%,Rs. 999,92%
Qaraqaram ka Taj Mehhal novel,No Ratings,Rs. 298,Rs. 99,74%,93%,-57%,Rs. 700,97%
Chand Se Pehle Complete Novel By Umera Ahmed,3 Ratings,Rs. 277,Free,87%,100%,-44%,Rs. 495,100%
The Fourty Rule Of Love by Elef Shafaq Urdu Eddition,1 Ratings,Rs. 879,Rs. 99,80%,100%,-51%,"Rs. 1,800",97%
Dairy of a Wimpy Kid 17 Books Complete Set,No Ratings,"Rs. 3,999",Free,81%,44%,-43%,"Rs. 6,999",80%
The_Essence of Sufism Book by John Baldock,2 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
How to Stop Worrying and Start Living Book by Dale Carnegie,No Ratings,Rs. 299,Free,81%,100%,-70%,Rs. 999,100%
The Last Lecture Book by Jeffrey Zaslow and Randy Pausch,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Mindset: The New Psychology of Success by Carol Dweck,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Quiet: The Power of Introverts in a World That Can't Stop Talking Book by Susan Cain,No Ratings,Rs. 349,Free,89%,100%,-65%,Rs. 999,81%
Strengths Finder 2.0 by Tom Rath,No Ratings,Rs. 799,Rs. 99,New Seller,100%,-63%,"Rs. 2,150",100%
Shayed by John Elia Urdu Poetry book,4 Ratings,Rs. 429,Rs. 99,74%,93%,-28%,Rs. 600,97%
Verity by Collen Hoover (Novel),No Ratings,Rs. 275,Free,90%,90%,-72%,Rs. 999,98%
"Inside the Soul of Islam: A Unique View into the Love, Beauty and Wisdom of Islam for Spiritual Seekers of All Faiths By Mamoon Yusaf",No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
IGNITE ME ( TAHEREH MAFI ),No Ratings,Rs. 322,Free,90%,95%,-68%,Rs. 999,89%
THE GREATEST SALESMAN IN THE WORLD BY OG MANDINO,No Ratings,Rs. 300,Free,New Seller,100%,-8%,Rs. 325,100%
In the Line of Fire: A Memoir Book by Pervez Musharraf,No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
A Curse So Dark and Lonely Book by Brigid Kemmerer,No Ratings,Rs. 784,Free,83%,85%,Not Found,Not Found,100%
Al chemist a Novel by Paulo Coelho Urdu Edition,9 Ratings,Rs. 333,Free,91%,100%,Not Found,Not Found,100%
Great Expectations By Charles Dickens,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
Tales from Shakespeare by Charles Lamb and Mary Lamb,No Ratings,Rs. 545,Free,83%,85%,-32%,Rs. 800,100%
The Way I Used to Be by Amber Smith,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Brief Answers To The Big Questions Book,6 Ratings,Rs. 299,Rs. 99,80%,100%,-40%,Rs. 499,97%
Abdullah both parts by Hashim Nadeem,No Ratings,"Rs. 1,369",Rs. 159,80%,100%,-45%,"Rs. 2,500",97%
Diwan e Ghalib By Asadullah Khan Ghalib,No Ratings,Rs. 330,Free,82%,100%,-72%,"Rs. 1,200",91%
"Danielle Lori Made Book Series (The Sweetest Oblivion, Maddest obsession, Darkest Temptation) (White Print)",No Ratings,"Rs. 1,035",Free,87%,100%,-65%,"Rs. 2,999",100%
Think and Grow rich by Nepolean Hill,No Ratings,Rs. 284,Rs. 99,74%,93%,-43%,Rs. 499,97%
Aik Din / ??? ?? Novel by Bano Qudsia Best selling urdu reading book,14 Ratings,Rs. 599,Free,89%,98%,Not Found,Not Found,99%
If We Were Villains Book by M. L. Rio,No Ratings,Rs. 370,Free,86%,100%,-63%,Rs. 999,92%
O level The History And culture Of Pakistan student book by nigel Kelly,No Ratings,"Rs. 1,695",Free,New Seller,91%,-58%,"Rs. 3,999",100%
HIGHWAYS AND BUILDINGS by Khalid Hassan Siddiqui,No Ratings,Rs. 695,Free,94%,100%,Not Found,Not Found,100%
Husna Or Husen Aara By Umera Ahmed,1 Ratings,Rs. 328,Rs. 139,80%,100%,-53%,Rs. 700,97%
Gumman by john Elia,No Ratings,Rs. 429,Rs. 99,74%,93%,-39%,Rs. 700,97%
The Island of Missing Trees by Elif Shafak,10 Ratings,Rs. 281,Free,87%,100%,-72%,Rs. 995,100%
Manipulation Techniques By David Clif,No Ratings,Rs. 289,Rs. 99,74%,93%,-42%,Rs. 499,97%
One Of Us is Back Book by Karen M.Mcmanus,No Ratings,Rs. 499,Free,87%,98%,-58%,"Rs. 1,199",85%
The 5 Second Rule Book by Mel Robbins,No Ratings,Rs. 395,Free,83%,85%,-34%,Rs. 600,100%
The Monk Who Sold His_Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny By Robin S. Sharma,No Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
And The Mountains Echoed Novel by Khaled Hosseini,2 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Black Beauty by Anna Sewell,No Ratings,Rs. 450,Free,87%,100%,-75%,"Rs. 1,799",100%
the seven husbandand of Evelyn Hugo by Taylor Jenkins,1 Ratings,Rs. 299,Free,82%,100%,-57%,Rs. 699,89%
The Laws of Leadership a book by John Maxwell Urdu Edition,28 Ratings,Rs. 790,Free,98%,98%,-21%,Rs. 995,100%
Mind Platter And Nectar Of Pain by Najwa Zebian set of 2,No Ratings,Rs. 625,Free,86%,100%,-58%,"Rs. 1,499",92%
Verity By Collen Hover,No Ratings,Rs. 248,Rs. 99,74%,93%,-59%,Rs. 600,97%
BAAT SE BAAT BY WASIF ALI WASIF,No Ratings,Rs. 398,Rs. 99,80%,100%,-56%,Rs. 899,97%
Lord of the Flies by William Golding,7 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Aab-e-Hayaat Novel by Umera Ahmed,No Ratings,Rs. 699,Rs. 139,New Seller,100%,-30%,Rs. 995,100%
High School English Grammar and Composition by Wren and Martin high quality imported book paramount book,No Ratings,Rs. 995,Free,86%,100%,-34%,"Rs. 1,499",92%
The Pashtuns: A Contested History by Tilak Devasher,1 Ratings,Rs. 469,Free,87%,100%,-77%,"Rs. 1,999",100%
Never Forget You by Fiona Lucas,1 Ratings,Rs. 395,Free,86%,83%,-34%,Rs. 600,95%
Warrior of the Light by Paulo Coelho,1 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
"Freedom at Midnight By Larry Collins, Dominique Lapierre",No Ratings,Rs. 680,Free,87%,100%,-66%,"Rs. 1,999",100%
The Twits By Roald Dahl,No Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
The Outsider by Albert Camus,12 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Yaram Urdu novel by sumera hameed most selling Urdu novel,2 Ratings,Rs. 888,Rs. 139,80%,100%,-56%,"Rs. 2,000",97%
Hurf Se lafz tak Qaraqaram ka taj mehal by nimra ahmed 2 complete novels,1 Ratings,Rs. 548,Rs. 99,80%,100%,-45%,"Rs. 1,000",97%
How to Stop Worrying and Start Living By Dale Carnegie,1 Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
thik grow and rich#rich dad poor dad,62 Ratings,Rs. 400,Free,82%,100%,-55%,Rs. 895,89%
"Rich Dad, Poor Dad by Robert T. Kiyosaki",706 Ratings,Rs. 250,Free,87%,100%,-75%,Rs. 995,100%
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found
"Rich Dad, Poor Dad by Robert T. Kiyosaki",245 Ratings,Rs. 249,Free,90%,100%,-38%,Rs. 399,93%
Peer e Kamil By umer Ahmed Best Selling Urdu Book,113 Ratings,Rs. 628,Rs. 99,80%,100%,-58%,"Rs. 1,500",97%
"Rich Dad, Poor Dad / Atomic Habits /Think and Grow Rich ( Combo Deal )",238 Ratings,Rs. 899,Free,87%,100%,-80%,"Rs. 4,499",100%
Beyond the Story: 10-Year Record of BTS Book by BTS and Myeongseok Kang,65 Ratings,Rs. 587,Rs. 99,89%,100%,-35%,Rs. 899,98%
The 48 Laws of Power by Robert Greene,93 Ratings,Rs. 499,Rs. 99,91%,100%,-17%,Rs. 599,93%
(Cat and Mouse Duet ) Haunting Adeline / _Hunting Adeline by H.D. Carlton set of 2 books,138 Ratings,Rs. 979,Rs. 99,89%,100%,-11%,"Rs. 1,099",98%
the psychology of money,39 Ratings,Rs. 225,Free,82%,100%,-75%,Rs. 895,89%
The Psychology of Money by Morgan Housel,135 Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Atomic Habits Book by James Clear,441 Ratings,Rs. 250,Free,87%,100%,-75%,Rs. 995,100%
twisted #book1 love #2 game#3 hate#4lies combo sat,12 Ratings,"Rs. 1,045",Free,88%,100%,Not Found,Not Found,86%
verity by Colleen Hoover,108 Ratings,Rs. 199,Free,88%,100%,-12%,Rs. 225,86%
The Silent Patient Novel by Alex Michaelides,43 Ratings,Rs. 250,Free,81%,100%,-75%,Rs. 999,100%
it startswith us #it ends withus by Colleen Hoover book 1$2,13 Ratings,Rs. 410,Free,82%,100%,-67%,"Rs. 1,245",89%
Yaaram Yaram Complete Novel by Sumaira Hameed Best selling urdu reading book,35 Ratings,Rs. 809,Free,87%,100%,-55%,"Rs. 1,799",100%
The Intelligent Investor Book by Benjamin Graham,40 Ratings,Rs. 517,Free,87%,100%,-74%,"Rs. 1,999",100%
it end with us by Collen hover,86 Ratings,Rs. 199,Free,88%,100%,Not Found,Not Found,86%
The Laws of Human Nature by Robert Greene,42 Ratings,Rs. 455,Rs. 99,89%,100%,-24%,Rs. 599,98%
The Art of Reading Minds by Henrik Fexeus,66 Ratings,Rs. 281,Free,87%,100%,-72%,Rs. 999,100%
ugly love by Colleen hoover,25 Ratings,Rs. 275,Free,82%,100%,-31%,Rs. 399,89%
Peer e Kamil And Aab e Hayaat by umera Ahmed,95 Ratings,"Rs. 1,508",Rs. 159,80%,100%,-50%,"Rs. 3,000",97%
Peer E Kamil Urdu Book By Umera Ahmad,59 Ratings,Rs. 619,Rs. 99,81%,100%,Not Found,Not Found,100%
it ends with us by Colleen Hoover,16 Ratings,Rs. 196,Free,82%,100%,-61%,Rs. 499,89%
Good to Great Book by James C. Collins,40 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Haunting Adeline Book by H. D. Carlton,70 Ratings,Rs. 533,Rs. 99,89%,100%,-24%,Rs. 699,98%
Allah_Loves by Omar Suleiman,86 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Trading Technical Analysis Book In Urdu For All Market Trader Classic Chart Patterns Book With 100% Accuracy,9 Ratings,"Rs. 1,100",Free,87%,100%,-35%,"Rs. 1,699",Not enough data
Atomic Habits by James Clear (Original),37 Ratings,"Rs. 1,395",Free,94%,100%,-65%,"Rs. 3,995",100%
The 7 Habits of Highly Effective People by Stephen R. Covey,67 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Mein Kampf Book by Adolf Hitler Urdu Edition,13 Ratings,Rs. 445,Free,98%,98%,-26%,Rs. 600,100%
Hyperfocus Book by Chris Bailey,22 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
To Kill a Mockingbird Novel by Harper Lee,72 Ratings,Rs. 329,Free,87%,100%,-81%,"Rs. 1,699",100%
Simple Trading Beginners and Advance Traders,19 Ratings,"Rs. 1,299",Free,91%,100%,-35%,"Rs. 2,000",100%
"Fourth Wing (The Empyrean, #1) by Rebecca Yarros",6 Ratings,Rs. 528,Rs. 99,89%,100%,-24%,Rs. 699,98%
it starts with us by Colleen Hoover,44 Ratings,Rs. 275,Free,88%,100%,Not Found,Not Found,86%
A Tale of Two Cities Novel by Charles Dickens,46 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
The Power of Now Book by Eckhart Tolle,71 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
The Brothers Hawthorne book by Jennifer Lynn Barnes,12 Ratings,Rs. 387,Rs. 99,89%,100%,-35%,Rs. 599,98%
The Art of war Book by Sun Tzu Urdu Edition,11 Ratings,Rs. 495,Free,98%,98%,-29%,Rs. 700,100%
MEETING MUHAMMAD - OMAR SULEIMAN,45 Ratings,Rs. 377,Rs. 99,89%,100%,-37%,Rs. 599,98%
How to Win Friends and Influence People Book by Dale Carnegie,128 Ratings,Rs. 340,Free,87%,100%,-80%,"Rs. 1,699",100%
How to Analyze People a Book By Daniel Spade Urdu Edition,55 Ratings,Rs. 297,Free,98%,98%,-1%,Rs. 300,100%
The 4 Hour Workweek by Timothy Ferriss,40 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Master Your English – 222 Rules of Grammar ENGLISH GRAMMAR & PART OF SPEECH,6 Ratings,Rs. 197,Free,94%,100%,-6%,Rs. 210,100%
Pillow Thoughts by Courtney Peppernell,29 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
"Lost to the World: A Memoir of Faith, Family, and Five Years in Terrorist Captivity by Shahbaz Taseer",10 Ratings,Rs. 635,Free,83%,85%,-25%,Rs. 850,100%
"Rich Dad, Poor Dad / Atomic Habits /Think and Grow Rich ( Combo Deal )",9 Ratings,Rs. 950,Free,81%,100%,-79%,"Rs. 4,499",100%
Personal Development Volume 2 Summaries of 10 Best Books Urdu Edition,6 Ratings,Rs. 391,Free,98%,98%,-29%,Rs. 550,100%
How to Talk to Anyone: 92 Little Tricks for Big Success in Relationships by Leil Lowndes,48 Ratings,Rs. 423,Free,87%,100%,-76%,"Rs. 1,799",100%
_Master Your Emotions Thibaut Meurisse,5 Ratings,Rs. 385,Rs. 99,89%,100%,-1%,Rs. 389,98%
The Extraordinary Cases of Sherlock Holmes (Sherlock Holmes) by Arthur Conan Doyle,11 Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
"(King of sins book 1 and 2) King Of Pride , King Of Wrath by Ana Huang set of 2 Books",28 Ratings,Rs. 723,Rs. 99,89%,100%,-28%,Rs. 999,98%
sinners anonymous series by somme sketcher 3 books set,9 Ratings,"Rs. 1,138",Rs. 139,89%,100%,-19%,"Rs. 1,399",98%
La Hasil Novel by Umera Ahmed,53 Ratings,Rs. 281,Free,87%,100%,-65%,Rs. 799,100%
Master Your English – Pronoun ENGLISH GRAMMAR & PART OF SPEECH,8 Ratings,Rs. 78,Free,94%,100%,-8%,Rs. 85,100%
"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness by Ichiro Kishimi, Fumitake Koga",26 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
$100M Offers By Alex Hormozi | Buy Books Online Bookberry | Amazon Bestseller,9 Ratings,Rs. 645,Rs. 99,92%,93%,-35%,Rs. 995,100%
Eat That Frog Book by Brian Tracy,21 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
The Psychology of Selling: Increase Your Sales Faster and Easier Than You Ever Thought Possible by Brian Tracy,7 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
Master Your English – Punctuation ENGLISH GRAMMAR & PART OF SPEECH,5 Ratings,Rs. 127,Free,94%,100%,-9%,Rs. 140,100%
Personal Development Volume 1 Summaries of 10 Best Books Urdu Edition,7 Ratings,Rs. 376,Free,98%,98%,-25%,Rs. 500,100%
